Age,Job,Education,HouseLoan,PersonalLoan,Contact,LMonth,LDayofWeek,LDuration,Campaign,PDays,PCampaign,Y,Marital_divorced,Marital_married,Marital_single,Marital_unknown,CreditDefault_no,CreditDefault_unknown,CreditDefault_yes,POutcome_failure,POutcome_nonexistent,POutcome_success
0.863738767,1,2,0,0,1,7,4,0.217592593,1,0,0,0,0,1,0,0,0,1,0,0,1,0
-0.289721585,2,6,0,0,0,7,4,0.101851852,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3.651267952,5,0,0,0,1,3,1,4.481481481,-0.5,0,0,1,0,1,0,0,1,0,0,0,1,0
-0.385843281,0,6,1,0,0,6,1,-0.277777778,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1.824955727,5,6,0,0,1,4,3,0.87037037,0,0,0,0,1,0,0,0,1,0,0,0,1,0
-1.058695154,0,6,0,0,1,1,4,0.351851852,0,0,0,0,0,0,1,0,1,0,0,0,1,0
-1.347060242,8,2,0,0,0,1,4,1.24537037,-0.5,0,0,1,0,0,1,0,1,0,0,0,1,0
-0.962573458,1,0,1,0,1,7,4,-0.25,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0.959860463,1,0,0,0,0,6,0,1.824074074,-0.5,0,0,0,0,1,0,0,0,1,0,0,1,0
-0.67420837,0,3,1,0,1,3,3,1.472222222,1.5,0,0,0,0,0,1,0,1,0,0,0,1,0
0.383130287,7,3,1,0,1,3,1,-0.101851852,1.5,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.770330066,9,6,1,0,0,6,0,-0.402777778,1.5,0,0,0,0,1,0,0,1,0,0,0,1,0
-1.347060242,6,5,1,0,1,3,2,-0.50462963,-0.5,0,0,0,0,0,1,0,1,0,0,0,1,0
0.287008591,4,6,0,1,0,3,2,0.106481481,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
1.536590639,1,2,0,0,1,6,2,0.875,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.001356497,1,2,1,0,1,6,4,3.583333333,-0.5,0,0,1,0,1,0,0,1,0,0,0,1,0
-0.770330066,0,6,1,0,1,1,3,-0.347222222,-0.5,0,0,0,1,0,0,0,1,0,0,0,1,0
0.671495375,9,5,0,0,0,6,3,-0.148148148,1.5,0,0,0,0,0,1,0,0,1,0,0,1,0
0.959860463,7,0,1,0,0,6,3,-0.37962963,3.5,0,0,0,0,0,1,0,1,0,0,0,1,0
-0.578086674,0,6,0,1,1,5,3,0.5,0,4,1,1,0,0,1,0,1,0,0,0,0,1
0.575373679,7,7,0,0,1,1,3,-0.013888889,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.097478193,1,0,0,0,1,6,2,-0.115740741,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
0.094765199,0,1,0,0,0,3,1,-0.180555556,-0.5,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.962573458,9,7,1,0,0,6,1,-0.166666667,0.5,0,0,0,0,0,1,0,1,0,0,0,1,0
1.440468943,10,6,0,0,1,5,3,0.148148148,0.5,7,3,1,1,0,0,0,1,0,0,0,0,1
-0.67420837,1,0,1,0,1,8,0,-0.157407407,-0.5,0,1,0,0,0,1,0,1,0,0,1,0,0
0.575373679,7,3,0,0,1,0,4,0.671296296,0,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.193599889,1,3,1,1,1,7,4,0.513888889,-0.5,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.385843281,0,6,1,1,1,3,4,-0.356481481,-0.5,0,0,0,1,0,0,0,0,1,0,0,1,0
-0.962573458,9,5,1,0,1,1,2,-0.273148148,-0.5,0,0,0,0,0,1,0,1,0,0,0,1,0
-0.578086674,9,3,0,0,0,4,0,0.259259259,2.5,0,0,0,0,0,1,0,1,0,0,0,1,0
2.209442511,5,0,0,0,1,1,2,-0.078703704,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
0.575373679,0,6,1,0,1,7,3,4.564814815,0.5,0,1,0,0,0,1,0,1,0,0,1,0,0
0.383130287,6,5,1,1,1,4,2,-0.212962963,-0.5,0,1,0,1,0,0,0,1,0,0,1,0,0
1.440468943,5,0,1,1,1,1,4,-0.421296296,-0.5,0,0,0,0,1,0,0,0,1,0,0,1,0
-0.770330066,0,6,0,0,1,6,0,2.87037037,1.5,0,0,0,0,0,1,0,1,0,0,0,1,0
-0.578086674,0,6,0,0,1,3,4,0.398148148,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.67420837,6,6,0,0,0,6,3,0.865740741,1.5,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.578086674,1,2,1,0,1,0,0,-0.509259259,-0.5,0,1,0,0,1,0,0,1,0,0,1,0,0
-1.63542533,0,3,0,0,1,0,1,0.541666667,1,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.097478193,1,1,0,0,1,6,0,-0.194444444,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.962573458,9,6,0,0,0,6,0,0.472222222,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0.094765199,9,5,0,0,1,0,2,2.75,0,0,1,1,1,0,0,0,1,0,0,1,0,0
1.440468943,11,7,1,0,1,1,2,-0.555555556,1,0,0,0,0,1,0,0,0,1,0,0,1,0
-0.962573458,0,6,0,0,0,4,0,-0.486111111,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
0.767617071,7,3,0,1,1,3,1,-0.425925926,1,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.385843281,9,5,1,0,1,1,2,1.361111111,-0.5,0,0,1,0,0,1,0,1,0,0,0,1,0
0.575373679,6,0,1,1,1,7,3,-0.083333333,-0.5,0,1,0,0,1,0,0,1,0,0,1,0,0
0.767617071,0,3,0,0,1,0,1,0.199074074,0,0,0,0,0,0,1,0,1,0,0,0,1,0
-0.385843281,2,3,1,0,0,4,1,-0.314814815,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1.248225551,6,6,1,0,0,6,4,0.240740741,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
1.536590639,5,2,1,1,0,6,4,-0.50462963,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0.767617071,1,7,-1,-1,1,1,2,2.138888889,0.5,0,0,0,0,1,0,0,0,1,0,0,1,0
-0.481964978,1,2,0,0,1,6,0,0.143518519,-0.5,0,1,0,0,1,0,0,1,0,0,1,0,0
0.959860463,2,5,1,0,1,1,2,0.523148148,1,0,0,0,0,1,0,0,0,1,0,0,1,0
-0.770330066,9,5,1,1,1,0,1,0.231481481,-0.5,0,1,0,0,0,1,0,1,0,0,1,0,0
-0.289721585,9,6,0,0,0,4,1,0.009259259,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1.536590639,7,3,0,0,0,6,1,-0.12037037,-0.5,0,0,0,1,0,0,0,0,1,0,0,1,0
-0.481964978,1,2,1,0,1,3,3,-0.277777778,2,0,0,0,0,0,1,0,1,0,0,0,1,0
1.055982159,1,0,1,0,1,6,4,1.203703704,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1.055982159,0,6,0,0,1,4,1,0.541666667,1,0,0,1,0,1,0,0,1,0,0,0,1,0
0.383130287,9,5,1,0,1,0,2,-0.037037037,0,0,0,0,1,0,0,0,0,1,0,0,1,0
-0.385843281,1,2,1,0,0,6,1,-0.273148148,0,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.385843281,10,6,0,0,1,3,2,2.018518519,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0.671495375,0,6,0,0,1,1,2,0.601851852,0.5,0,0,0,0,0,1,0,1,0,0,0,1,0
-0.962573458,9,5,1,0,1,1,0,-0.25,-0.5,0,0,0,0,0,1,0,1,0,0,0,1,0
-0.770330066,0,6,0,0,1,3,2,-0.62037037,1,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.097478193,0,6,1,0,0,3,4,0.078703704,1,0,0,0,0,1,0,0,0,1,0,0,1,0
2.978416079,5,5,0,0,1,9,0,0.615740741,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.578086674,0,3,0,0,1,7,4,0.773148148,-0.5,0,0,0,0,0,1,0,1,0,0,0,1,0
-0.770330066,0,6,-1,-1,0,6,3,-0.606481481,-0.5,0,0,0,0,0,1,0,0,1,0,0,1,0
1.728834031,7,0,0,0,0,6,0,0.212962963,-0.5,0,0,0,0,1,0,0,1,0,0,0,1,0
-1.827668722,1,2,0,0,1,3,4,0.180555556,-0.5,0,0,0,0,0,1,0,1,0,0,0,1,0
-0.097478193,1,2,1,0,1,6,0,-0.796296296,2,0,0,0,0,1,0,0,1,0,0,0,1,0
